Timestamp,Battery_Temp_C,Motor_Vibration_g,Current_Draw_A,Altitude_m,Voltage_V
2026-09-13T09:00:00Z,28.5,0.13,12.0,0.0,16.8
2026-09-13T09:01:00Z,29.0,0.14,12.8,8.0,16.7
2026-09-13T09:02:00Z,29.4,0.14,13.2,15.0,16.7
2026-09-13T09:03:00Z,29.8,0.15,13.8,25.0,16.6
2026-09-13T09:04:00Z,30.2,0.15,14.2,40.0,16.5
2026-09-13T09:05:00Z,30.5,0.14,14.5,55.0,16.5
2026-09-13T09:06:00Z,30.9,0.15,14.8,70.0,16.4
2026-09-13T09:07:00Z,31.2,0.16,15.0,85.0,16.3
2026-09-13T09:08:00Z,31.6,0.15,15.2,95.0,16.2
2026-09-13T09:09:00Z,32.0,0.14,15.3,105.0,16.1
2026-09-13T09:10:00Z,32.4,0.15,15.5,110.0,16.0
2026-09-13T09:11:00Z,33.0,0.15,16.0,110.0,16.0
2026-09-13T09:12:00Z,58.4,0.17,24.5,110.1,15.2
2026-09-13T09:13:00Z,72.5,0.19,28.2,108.5,14.5
2026-09-13T09:14:00Z,65.0,0.18,22.0,90.0,14.9
2026-09-13T09:15:00Z,52.1,0.16,18.0,60.0,15.2
2026-09-13T09:16:00Z,38.0,0.15,15.0,30.0,15.5
2026-09-13T09:17:00Z,34.2,0.14,14.0,10.0,15.7
2026-09-13T09:18:00Z,33.0,0.13,13.0,0.0,15.8
2026-09-13T09:19:00Z,32.5,0.12,12.0,0.0,15.8

