Timestamp,Battery_Temp_C,Motor_Vibration_g,Current_Draw_A,Altitude_m,Voltage_V
2026-09-12T14:00:00Z,27.5,0.13,11.9,0.0,16.8
2026-09-12T14:01:00Z,27.9,0.14,12.5,5.0,16.7
2026-09-12T14:02:00Z,28.4,0.15,13.2,12.0,16.7
2026-09-12T14:03:00Z,28.8,0.15,13.8,15.2,16.6
2026-09-12T14:04:00Z,29.3,0.14,14.5,25.0,16.5
2026-09-12T14:05:00Z,29.8,0.16,14.8,32.0,16.5
2026-09-12T14:06:00Z,30.2,0.15,15.2,40.5,16.4
2026-09-12T14:07:00Z,30.9,0.14,15.3,60.0,16.4
2026-09-12T14:08:00Z,31.3,0.15,15.4,72.0,16.3
2026-09-12T14:09:00Z,31.7,0.16,15.5,80.1,16.3
2026-09-12T14:10:00Z,32.1,0.15,15.6,95.0,16.2
2026-09-12T14:11:00Z,32.5,0.14,15.7,110.0,16.1
2026-09-12T14:12:00Z,32.8,0.15,15.8,118.0,16.0
2026-09-12T14:13:00Z,33.0,0.16,16.0,120.0,16.0
2026-09-12T14:14:00Z,33.2,1.82,22.4,120.0,15.8
2026-09-12T14:15:00Z,33.8,2.15,24.1,120.4,15.5
2026-09-12T14:16:00Z,34.1,1.94,23.0,118.9,15.4
2026-09-12T14:17:00Z,33.9,0.22,16.1,95.0,15.6
2026-09-12T14:18:00Z,33.6,0.18,14.5,75.0,15.7
2026-09-12T14:19:00Z,33.3,0.16,14.0,55.0,15.7
2026-09-12T14:20:00Z,33.0,0.15,13.5,35.0,15.8
2026-09-12T14:21:00Z,32.8,0.14,13.0,20.0,15.8
2026-09-12T14:22:00Z,32.6,0.13,12.5,10.0,15.9
2026-09-12T14:23:00Z,32.4,0.12,12.0,0.0,15.9

